Identifier,Category,Air_Temp,Process_Temp,Rotational_Speed,Torque,Tool_Life,Failure,Failure_Description
0,M,298.1,308.6,1551,42.8,0,0,Normal_Operation
1,L,298.2,308.7,1408,46.3,3,0,Normal_Operation
2,L,298.1,308.5,1498,49.4,5,0,Normal_Operation
3,L,298.2,308.6,1433,39.5,7,0,Normal_Operation
4,L,298.2,308.7,1408,40.0,9,0,Normal_Operation
5,M,298.1,308.6,1425,41.9,11,0,Normal_Operation
6,L,298.1,308.6,1558,42.4,14,0,Normal_Operation
7,L,298.1,308.6,1527,40.2,16,0,Normal_Operation
8,M,298.3,308.7,1667,28.6,18,0,Normal_Operation
9,M,298.5,309.0,1741,28.0,21,0,Normal_Operation
10,H,298.4,308.9,1782,23.9,24,0,Normal_Operation
11,H,298.6,309.1,1423,44.3,29,0,Normal_Operation
12,M,298.6,309.1,1339,51.1,34,0,Normal_Operation
13,M,298.6,309.2,1742,30.0,37,0,Normal_Operation
14,L,298.6,309.2,2035,19.6,40,0,Normal_Operation
15,L,298.6,309.2,1542,48.4,42,0,Normal_Operation
16,M,298.6,309.2,1311,46.6,44,0,Normal_Operation
17,M,298.7,309.2,1410,45.6,47,0,Normal_Operation
18,H,298.8,309.2,1306,54.5,50,0,Normal_Operation
19,M,298.9,309.3,1632,32.5,55,0,Normal_Operation
20,H,298.9,309.3,1375,42.7,58,0,Normal_Operation
21,L,298.8,309.3,1450,44.8,63,0,Normal_Operation
22,M,298.9,309.3,1581,30.7,65,0,Normal_Operation
23,L,299.0,309.4,1758,25.7,68,0,Normal_Operation
24,M,299.0,309.4,1561,37.3,70,0,Normal_Operation
25,L,299.0,309.5,1861,23.3,73,0,Normal_Operation
26,L,299.1,309.5,1512,39.0,75,0,Normal_Operation
27,H,299.1,309.4,1811,24.6,77,0,Normal_Operation
28,L,299.1,309.4,1439,44.2,82,0,Normal_Operation
29,L,299.0,309.4,1693,30.1,84,0,Normal_Operation
30,M,299.1,309.5,1339,48.2,86,0,Normal_Operation
31,L,299.0,309.4,1798,25.5,89,0,Normal_Operation
32,L,299.0,309.4,1419,48.3,91,0,Normal_Operation
33,L,298.9,309.3,1665,32.5,93,0,Normal_Operation
34,M,298.8,309.1,1559,34.7,95,0,Normal_Operation
35,M,298.8,309.2,1452,48.6,98,0,Normal_Operation
36,M,298.9,309.2,1581,36.7,101,0,Normal_Operation
37,L,298.8,309.1,1439,39.2,104,0,Normal_Operation
38,H,298.9,309.2,1379,50.7,106,0,Normal_Operation
39,L,298.8,309.1,1350,52.5,111,0,Normal_Operation
40,L,298.8,309.1,1362,45.4,113,0,Normal_Operation
41,L,298.8,309.1,1368,50.8,115,0,Normal_Operation
42,M,298.8,309.1,1368,49.1,117,0,Normal_Operation
43,H,298.8,309.2,1372,48.5,120,0,Normal_Operation
44,M,298.8,309.1,1472,47.5,125,0,Normal_Operation
45,L,298.8,309.1,1489,49.1,128,0,Normal_Operation
46,M,298.7,309.0,1843,25.8,130,0,Normal_Operation
47,L,298.8,309.1,1418,46.3,133,0,Normal_Operation
48,H,298.8,309.2,1425,53.9,135,0,Normal_Operation
49,M,298.9,309.2,1412,44.1,140,0,Normal_Operation
50,L,298.9,309.1,2861,4.6,143,1,Power_Supply_Issue
51,L,298.9,309.1,1383,54.9,145,0,Normal_Operation
52,H,298.8,309.0,1497,43.8,147,0,Normal_Operation
53,L,298.7,309.0,1565,35.1,152,0,Normal_Operation
54,L,298.7,309.0,1691,30.1,154,0,Normal_Operation
55,L,298.8,309.1,1512,40.7,156,0,Normal_Operation
56,L,298.8,309.1,1477,42.4,158,0,Normal_Operation
57,L,298.8,309.1,1513,40.3,160,0,Normal_Operation
58,M,298.8,309.0,1661,29.5,162,0,Normal_Operation
59,L,298.8,309.1,1378,54.4,165,0,Normal_Operation
60,L,298.8,309.1,1393,52.6,167,0,Normal_Operation
61,M,298.8,309.0,1592,38.2,169,0,Normal_Operation
62,L,298.8,309.0,1829,22.9,172,0,Normal_Operation
63,M,298.9,309.0,1812,25.9,174,0,Normal_Operation
64,L,299.0,309.1,1523,38.6,177,0,Normal_Operation
65,L,299.0,309.1,1394,45.1,179,0,Normal_Operation
66,M,298.9,308.9,1679,28.7,181,0,Normal_Operation
67,H,298.8,308.9,1466,44.1,184,0,Normal_Operation
68,L,298.8,308.9,1527,32.4,189,0,Normal_Operation
69,L,298.9,309.0,1410,65.7,191,1,Power_Supply_Issue
70,M,298.9,309.0,1924,22.6,193,0,Normal_Operation
71,L,298.9,309.1,1452,45.5,196,0,Normal_Operation
72,L,298.9,309.1,1369,44.4,198,0,Normal_Operation
73,L,299.0,309.1,1592,35.0,200,0,Normal_Operation
74,L,298.9,309.0,1601,32.3,202,0,Normal_Operation
75,L,298.8,308.9,1379,46.7,204,0,Normal_Operation
76,L,298.8,308.9,1461,47.9,206,0,Normal_Operation
77,L,298.8,308.9,1455,41.3,208,1,Tool_Degradation
78,L,298.8,308.9,1398,51.5,0,0,Normal_Operation
79,L,298.8,308.9,1402,37.9,2,0,Normal_Operation
80,H,298.8,308.8,1445,49.9,4,0,Normal_Operation
81,L,298.9,308.9,1450,47.5,9,0,Normal_Operation
82,L,298.9,308.9,1453,40.8,11,0,Normal_Operation
83,L,299.0,309.0,1469,40.1,13,0,Normal_Operation
84,L,298.9,308.9,1422,47.6,15,0,Normal_Operation
85,M,299.0,309.0,1804,26.8,17,0,Normal_Operation
86,H,299.0,309.0,1436,43.9,20,0,Normal_Operation
87,L,299.0,309.0,1544,31.8,25,0,Normal_Operation
88,M,299.0,309.0,1419,45.2,27,0,Normal_Operation
89,M,298.9,308.9,1487,39.5,30,0,Normal_Operation
90,L,298.9,308.9,1753,25.8,33,0,Normal_Operation
91,L,298.9,308.9,1830,24.9,35,0,Normal_Operation
92,M,298.9,308.9,1727,27.1,37,0,Normal_Operation
93,L,299.1,309.0,1450,43.0,40,0,Normal_Operation
94,L,299.0,308.9,1622,31.9,42,0,Normal_Operation
95,M,299.0,309.0,1351,52.2,44,0,Normal_Operation
96,M,299.0,309.0,1575,35.3,47,0,Normal_Operation
97,M,298.9,308.9,1750,29.9,50,0,Normal_Operation
98,L,298.9,308.8,1529,32.7,53,0,Normal_Operation
99,L,298.8,308.8,1523,44.4,55,0,Normal_Operation
100,L,298.8,308.9,1852,25.0,57,0,Normal_Operation
101,L,298.8,308.8,1991,20.7,59,0,Normal_Operation
102,L,298.8,308.8,1555,40.6,61,0,Normal_Operation
103,M,298.8,308.8,1441,40.5,63,0,Normal_Operation
104,L,298.8,308.7,1450,43.4,66,0,Normal_Operation
105,L,298.8,308.7,1591,31.1,68,0,Normal_Operation
106,L,298.8,308.7,1445,48.5,70,0,Normal_Operation
107,M,298.8,308.8,1497,46.8,72,0,Normal_Operation
108,H,298.9,308.8,1621,32.7,75,0,Normal_Operation
109,L,298.9,308.7,1572,34.1,80,0,Normal_Operation
110,L,298.8,308.6,1872,22.5,82,0,Normal_Operation
111,H,298.7,308.6,1499,43.5,84,0,Normal_Operation
112,M,298.8,308.7,1498,39.5,89,0,Normal_Operation
113,M,298.8,308.6,1486,41.9,92,0,Normal_Operation
114,L,298.8,308.6,1680,29.4,95,0,Normal_Operation
115,L,298.8,308.6,1431,45.7,97,0,Normal_Operation
116,L,298.9,308.7,1564,34.1,99,0,Normal_Operation
117,L,298.8,308.6,1599,33.0,101,0,Normal_Operation
118,M,298.8,308.6,1707,28.1,103,0,Normal_Operation
119,L,298.7,308.5,1467,40.7,106,0,Normal_Operation
120,L,298.9,308.7,1433,44.7,108,0,Normal_Operation
121,L,298.9,308.7,1558,41.2,110,0,Normal_Operation
122,L,299.0,308.8,1310,50.7,112,0,Normal_Operation
123,L,298.9,308.7,1546,43.4,114,0,Normal_Operation
124,L,298.9,308.7,1727,29.4,116,0,Normal_Operation
125,L,298.9,308.6,1560,32.2,118,0,Normal_Operation
